x,y
6.235176440138234284e+02,1.785374106957835636e+02
6.000137437361887578e+02,1.907330283390751902e+02
5.313800600851299123e+02,2.566878216328267399e+02
6.855855364827451695e+02,1.464022574065167532e+02
6.205654947173946994e+02,1.606967069629378102e+02
6.910773775706270499e+02,1.910824034081977345e+02
6.379715682296048271e+02,1.641303614125766615e+02
7.473657062197836467e+02,1.669834259579369018e+02
5.721224598725600572e+02,1.770259001433960293e+02
6.639291019919800192e+02,1.707160739724998564e+02
6.507033025609646302e+02,1.483774722588898953e+02
6.269196856427361126e+02,2.257091579402867580e+02
6.424966671746490192e+02,1.956615519040418576e+02
6.566665823874691341e+02,2.455808466882257903e+02
6.564518288797771675e+02,2.181346896928735930e+02
6.385808951164602831e+02,1.640046162023358534e+02
5.954799157458210175e+02,2.053958637686172324e+02
6.468119366743001137e+02,2.029692636916874449e+02
6.010463369208264339e+02,2.170253268396835153e+02
5.787793765309137370e+02,1.765858762295011388e+02
6.754788632077116972e+02,2.538895670079047022e+02
6.471427713131569135e+02,2.629718961387421245e+02
7.385436464160383139e+02,2.712012575000960055e+02
6.688526777572654964e+02,2.319604479916623063e+02
7.066832290118205719e+02,2.424788206164766962e+02
6.503075683330862375e+02,2.508894696201114982e+02
6.958229074439610713e+02,1.841539837604875913e+02
6.179948946922424966e+02,2.036093077841419472e+02
6.613976090961139107e+02,2.210286343047122841e+02
6.630078520414438117e+02,1.982692717191667953e+02
6.190383805522335479e+02,2.285234474599530756e+02
7.037944998854319465e+02,2.628252024832485176e+02
6.297544425833680179e+02,2.316313497933434746e+02
7.056782321073080766e+02,1.758989980165901557e+02
6.222626048366249734e+02,2.705546200375148942e+02
5.608055586091786608e+02,2.196220742292222781e+02
6.541877177571976745e+02,2.334463912839525506e+02
6.892026999396047131e+02,2.124608143164992669e+02
6.611612064960158932e+02,2.428808739425008696e+02
6.165848064106776292e+02,2.506029813027544151e+02
5.579193166908468129e+02,2.927345498330336113e+02
5.775846628447301327e+02,2.329162165432060192e+02
5.798404980570252292e+02,1.869757946835501343e+02
6.525681509005622729e+02,1.672542902267650788e+02
5.596623755065753585e+02,1.792157809609518040e+02
6.922896419796677492e+02,2.375424453802904452e+02
6.348460747914294870e+02,2.363390812530967651e+02
6.460707433285028856e+02,1.909011431030878043e+02
6.660902620824558653e+02,2.410563469006369814e+02
6.457082404069043378e+02,2.557201322104865824e+02
6.621019785624940823e+02,2.334639868743341253e+02
7.172733959231680956e+02,2.381052510241690356e+02
6.825214396601611497e+02,1.855060412759617350e+02
6.111356769790528460e+02,2.130365609624032288e+02
6.886716070793106610e+02,2.156981335795260577e+02
